,Tweet,Emotion
0,Tweet content,Joy
1,Why American Airlines Group Inc AAL Novo Nordisk NVO Synchrony Financial SYF Are 3 of Today’s Worst Stocks,Sadness
2,Yesterday s top FTSE100 fallers Anglo American AAL Antofagasta ANTO Sky SKY Berkeley BKG and BHP Billiton BLT,Disgust
3,SA QuickIdeas 5 Large Cap Stocks With The Lowest Enterprise Multiples AAL DAL HPQ TTM UAL VLO,Trust
4,JPMorgan Chase Co Reiterates Underweight Rating for Anglo American plc AAL,Surprise
5,DAL AAL 5 Large Cap Stocks With The Lowest Enterprise Multiples,Trust
6,JPMorgan Chase Co Reiterates Underweight Rating for Anglo American plc AAL,Surprise
7,RT Insiders Now Seeing Red With AAL At New 52 Week Low stocks,Joy
8,AAL With V,Trust
9,AAL American Airlines To Remain In Bear Grip by Economics Fanatic,Surprise
10,Biggest losers today large caps SYF 13 11 COF 6 62 BSMX 5 83 LUV 5 41 BBDO 5 01 NVO 4 75 AAL 4 53 T I 4 51,Surprise
11,AAL American Airlines Group Inc NASDAQ AAL dropped about 5 6 on Tuesday to post a new 52 week low of 30 02,Joy
12,TARO Day High See Here gt TARO AAL CENX invest,Joy
13,AAL top ten OTM 7 15 CALLS by most OPEN INT DWNLD Options Analytics stocks options,Trust
14,airlines breaking down further today aal ual jblu dal very ugly charts,Trust
15,RT Airline stocks crushed again This week UAL is down 8 7 LUV 8 6 AAL 8 4 ALK 8 1 DAL 7 JBLU 7 3 S…,Joy
16,We calculated 21 day Expected Return of AAL for you 1 71,Joy
17,Insiders Now Seeing Red With AAL At New 52 Week Low stocks,Joy
18,AmericanAirlines Cabin Chaos Triggers Turbulence Planning Overhaul Read more AAL,Surprise
19,Explore fundamental numbers and pros and cons for AAL,Surprise
20,Expansion BD IMGN COF LYG STNG LUV ALLY SMFG ING MPC ARCC LYB AEG UAL AAL RDN UBS BBVA,Trust
21,AAL big time shorts and options traders seem controlling the trading market,Fear
22,Wondering about risks of AAL The 21 day volatility is 7 79,Fear
23,Airlines continue to look PUTRID Lot of turbulence in the Bigs UAL AAL Like short But prefer selling bounces,Trust
24,AAL 52Wk Low See Here gt AAL RLYP AKAO invest,Trust
25,Jeeze Ugly day takes some airline names down to 52 week lows AAL JBLU UAL SAVE,Trust
26,JETS JBLU UAL DAL AAL LUV HA Airlines totally broken posted this heads up yesterday,Surprise
27,almost all airline stocks are doing poorly Ticket price going down Other factors JETS AAL DAL LUV,Trust
28,AAL long the June 24 31 32 33 call butterfly for 0 16 net debit OTM shot w good r r for how oversold airlines are UAL JBLU DAL LUV,Trust
29,RT Airline stocks crushed again This week UAL is down 8 7 LUV 8 6 AAL 8 4 ALK 8 1 DAL 7 JBLU 7 3 S…,Joy
30,RT StockConsultant AAL American Airlines stock w confirmed breakdown below 30 55 volume 38 normal … …,Trust
31,RT Airline stocks crushed again This week UAL is down 8 7 LUV 8 6 AAL 8 4 ALK 8 1 DAL 7 JBLU 7 3 S…,Joy
32,RT Airline stocks crushed again This week UAL is down 8 7 LUV 8 6 AAL 8 4 ALK 8 1 DAL 7 JBLU 7 3 S…,Joy
33,Airline stocks crushed again This week UAL is down 8 7 LUV 8 6 AAL 8 4 ALK 8 1 DAL 7 JBLU 7 3 SAVE 6 7,Surprise
34,Ugly day takes some airline names down to 52 week lows AAL JBLU UAL SAVE ALK HA LUV JETS,Joy
35,Last Minutes of Trading AAL BAC HYG IBM LC QCOM TWTR via,Joy
36,AAL Please fasten your seat belts after a morning consolidation under VWAP it is going to be a bumpy ride,Anticipation
37,Unicorn Bay rating for AAL is 3 77 out of 5,Joy
38,RT StockConsultant AAL American Airlines stock w confirmed breakdown below 30 55 volume 38 normal … …,Trust
39,Screwed up today but it only cost me 30 bucks with AAL NYMO 70 is a buy but you cant jump on a pony expect to ride like a horse,Sadness
40,RSX VanEck Vectors Russia ETF Shares RSX AAPL PANW AAL tradeideas stocks,Trust
41,AmericanAirlines CEO claims the industry has permanently solved its biggest problem Read more AAL,Disgust
42,StockConsultant AAL American Airlines stock w confirmed breakdown below 30 55 volume 38 normal …,Trust
43,NA TO National Bank of Canada Tick NA TO VLO AAL HXU TO stock nasdaq,Joy
44,Ugly day takes some airline names down to 52 week lows AAL JBLU UAL SAVE ALK HA LUV JETS,Joy
45,Bought AAL when they were 30 Sold them at 39 now they re back again at 30 TEMPTED,Surprise
46,AmericanAirlines CEO Carrier Consolidation Means The Industry Won t See Losses Again Read more AAL,Surprise
47,RT Best times over for airlines AAL DAL JBLU LUV UAL trending on And all falling Terrorism fears Brexit…,Fear
48,AAL AU Deutsche Bank APAC CEO Chadha to leave source APAC COAL LTD ASX2000,Trust
49,AAL American Airlines stock w confirmed breakdown below 30 55 volume 38 normal,Surprise
50,Four stocks making new 52 week lows in Tuesday’s session JD AAL IMGN UAL,Trust
51,Ugly day takes some airline names down to 52 week lows AAL JBLU UAL SAVE ALK HA LUV JETS,Joy
52,AAL You people are still here,Surprise
53,Do you know that Book Value for AAL is 8 04,Trust
54,AAL 30 Puts SELLING Activity expiring on 19th Jan Vol 2000,Trust
55,AAL American Airlines Back At October 2014 Levels,Trust
56,AAL DAL FDX IYT UAL,Trust
57,StockTwits RT LaMonicaBuzz Best times over for airlines AAL DAL JBLU LUV UAL trending on StockTwits And all falling Terrorism fea…,Fear
58,Out AAL ALREADY I hate how its acting during the rally I hate the candle forming when SPY only down 5 points,Anger
59,RT Best times over for airlines AAL DAL JBLU LUV UAL trending on And all falling Terrorism fears Brexit…,Fear
60,JBLU and AAL right near their 52 week lows airlines down 3 5 today not many talking about it DAL SAVE LUV,Trust
61,NEW POST Close Enough for the Mile High Club AAL DAL FDX IYT UAL,Trust
62,RT American Airlines Group Nearing Bounce Level AAL stockchart,Trust
63,Losing altitude Airline stocks off 3 5 today LUV RYAAY HA SAVE At new yearly lows UAL AAL JBLU ALK retesting Feb low,Joy
64,Ugly day takes some airline names down to 52 week lows AAL JBLU UAL SAVE ALK HA LUV JETS,Joy
65,Ugly day takes some airline names down to 52 week lows AAL JBLU UAL SAVE,Trust
66,Ugly day takes some airline names down to 52 week lows AAL JBLU UAL SAVE,Trust
67,Ugly day takes some airline names down to 52 week lows AAL JBLU UAL SAVE,Trust
68,Ugly day takes some airline names down to 52 week lows AAL JBLU UAL SAVE,Trust
69,RT Best times over for airlines AAL DAL JBLU LUV UAL trending on And all falling Terrorism fears Brexit…,Fear
70,StockTwits RT LaMonicaBuzz Best times over for airlines AAL DAL JBLU LUV UAL trending on StockTwits And all falling Terrorism fea…,Fear
71,RT Best times over for airlines AAL DAL JBLU LUV UAL trending on And all falling Terrorism fears Brexit…,Fear
72,RT Best times over for airlines AAL DAL JBLU LUV UAL trending on And all falling Terrorism fears Brexit…,Fear
73,RT Best times over for airlines AAL DAL JBLU LUV UAL trending on And all falling Terrorism fears Brexit…,Fear
74,RT Best times over for airlines AAL DAL JBLU LUV UAL trending on And all falling Terrorism fears Brexit…,Fear
75,ugh more AAL,Joy
76,AAL DAL JBLU LUV UAL Season strength of Airline is not ready until Sept We stopped out from DAL and UAL,Trust
77,Btw Estimated Earnings Per Share for AAL is 1 68 it s 5 28 of the current price,Joy
78,HedgeMind AAL Comparing its price chart to its Fund Owner chart we might have seen today coming …,Surprise
79,I dont understand why airline stocks are losing altitude Were in peak summer travel season load factors all up LUV AAL,Trust
80,Best times over for airlines AAL DAL JBLU LUV UAL trending on And all falling Terrorism fears Brexit concerns Both,Fear
81,HedgeMind AAL Comparing its price chart to its Fund Owner chart we might have seen today coming …,Surprise
82,American Airlines Group Nearing Bounce Level AAL stockchart,Trust
83,AAL Comparing its price chart to its Fund Owner chart we might have seen today coming,Surprise
84,AAL Orlando shootings aren t going to stop family vacations to Disneyland DIS,Sadness
85,AAL DAL this hate on the airlines is incredible,Trust
86,whats that AAL just hit a 52 week low at 30 bucks a share sounds like I need to buy some shares American Airlines isn t going anywhere,Trust
87,UAL breaking its WEEKLY box Price point to ponder below IYT AAL JBLU DAL,Trust
88,American Airlines Group hits a 1 year low AAL AmericanAirlinesGroup,Surprise
89,AmericanAirlines AA s regional carriers bump up bonuses for new pilots Read more AAL,Surprise
90,powerhour watch LBIX VHC SWHC BSPM EXAS VMRI NUGT UVXY MPAA GE AAL gl trade smart daytrade learn,Surprise
91,BlackRock Inc Has 28 678 000 Position in American Airlines Group Inc AAL AAL stocks…,Trust
92,Wondering about risks of AAL The 63 day volatility is 15 08,Fear
93,AAL I like banging a good housewife while their husband is off to work,Surprise
94,American Airlines trading at 52 week low and lowest since 2014 AAL,Joy
95,airlines continuing swoon today AAL 52 week lows UAL right behind it Dal also bad,Trust
96,AAL JBLU LUV airlines taking it a bit on the chin today,Trust
97,American Airlines Group Inc AAL Close to 52 Week Low AAL investor stocks investing,Surprise
98,AAL One Reason American Airlines AAL Stock Is Lower Today,Trust
99,One Reason American Airlines AAL Stock Is Lower Today,Trust
