date,close,Anger,Disgust,Fear,Joy,Sadness,Surprise,Trust,Anticipation,Angry,Happy,Satisfaction,Stress,Topic0,Topic1,Topic2,Topic3,Topic4
11/14/18,104.97,0.049799352,0.010729061,0.059519246,0.253945017,0.075209081,0.135414146,0.369310034,0.046074048,0.203067368,0.913680594,0.871560595,0.099826769,0.261066175,0.169319065,0.209147181,0.206958684,0.153508893
11/13/18,106.94,0.048181332,0.011189389,0.062756564,0.251961304,0.079206996,0.12137493,0.382758817,0.042570652,0.177509482,0.900103985,0.875866744,0.122923008,0.315524538,0.17124105,0.197580136,0.190762642,0.124891633
11/12/18,106.87,0.043094516,0.012365423,0.072328492,0.258309018,0.07025541,0.137631156,0.357044273,0.048971705,0.203011002,0.909421732,0.8454368,0.121786397,0.218693342,0.18771833,0.248778978,0.206913511,0.137895838
11/11/18,108.22,0.053337878,0.012566539,0.063662898,0.245727798,0.085926039,0.152213929,0.338713644,0.047851265,0.210021057,0.884558271,0.837616486,0.131017634,0.231126896,0.149363533,0.279560552,0.193526663,0.146422355
11/10/18,108.22,0.048223941,0.010800451,0.059426546,0.251520368,0.080200699,0.135638269,0.369877744,0.04431197,0.204108083,0.906679835,0.86269213,0.117055524,0.255109292,0.170210738,0.242938401,0.200524906,0.131216664
11/9/18,109.57,0.045153629,0.011998578,0.073015095,0.237920687,0.065783031,0.152182305,0.367215517,0.046731152,0.231054414,0.917422534,0.839398234,0.112376486,0.167574078,0.208378756,0.242423121,0.24257497,0.139049076
11/8/18,111.75,0.046711305,0.01220639,0.072178961,0.251789095,0.063759873,0.172289086,0.321269497,0.059795792,0.23520987,0.906537037,0.825816383,0.116872324,0.149985682,0.17235001,0.263586969,0.228296428,0.185780914
11/7/18,111.96,0.045849803,0.012340527,0.075224023,0.24982738,0.057947684,0.15865047,0.337630638,0.062529473,0.243529229,0.901914833,0.825596517,0.115912134,0.129121078,0.179303717,0.273322472,0.264513234,0.153739501
11/6/18,107.72,0.043987606,0.023762315,0.069282848,0.239242785,0.06045144,0.141572213,0.371131681,0.050569108,0.251813899,0.903312423,0.828848384,0.124832337,0.145922967,0.210781227,0.247127577,0.214722222,0.181446009
11/5/18,107.51,0.043867804,0.013492577,0.07329914,0.241098712,0.072637662,0.144231325,0.357720861,0.05365191,0.206063559,0.912574179,0.829709765,0.127734561,0.206162926,0.164990427,0.201801394,0.261169502,0.165875753
11/4/18,106.84,0.050384931,0.015615045,0.060828781,0.24795306,0.084956889,0.151073308,0.346359901,0.042828069,0.210581033,0.896049798,0.817056239,0.115885156,0.282498991,0.154499624,0.189858035,0.153182195,0.219961154